,custom_key,rider_bike_curr_elo,rider_bike_new_elo,rider_track_curr_elo,rider_track_new_elo,track_rider_bike_curr_elo,track_rider_bike_new_elo,track_bike_curr_elo,track_bike_new_elo,season,race_num,track,rider,pos,simple_avg_curr_elo,rider_bike_curr_elo**2,curr_elo_rank,error_diff
66,2013.3.jerez.Stefan BRADL.19,1002.1256443178229,981.0393685333264,1001.0,979.8227444884506,1001.0,979.8527778753181,1001.0,979.8587845526916,2013,3,jerez,Stefan BRADL,19,1001.2814110794557,,8,11
67,2013.3.jerez.Andrea IANNONE.20,992.5868593540569,971.5444791765136,1001.0,979.2209812397953,1001.0,979.2510146266628,999.0,977.3951748836273,2013,3,jerez,Andrea IANNONE,20,998.3967148385142,,11,9
68,2013.3.jerez.Lukas PESEK.21,957.8198701593873,938.6157193468118,999.0,976.8576654455068,999.0,976.8876988323743,1001.0,978.7555519301569,2013,3,jerez,Lukas PESEK,21,989.2049675398468,,22,1
69,2013.3.jerez.Randy DE PUNIET.22,973.5725588095603,952.8945501260506,1001.0,978.3016207210163,1001.0,978.331654107884,999.0,976.4758143648484,2013,3,jerez,Randy DE PUNIET,22,993.64313970239,,13,9
70,2013.3.jerez.Yonny HERNANDEZ.23,968.2252480458947,947.5584505857628,999.0,976.0915316798577,1001.0,977.9834114871344,999.0,976.1275717440989,2013,3,jerez,Yonny HERNANDEZ,23,991.8063120114737,,16,7
71,2013.4.lemans.Dani PEDROSA.1,1153.7766623721384,1218.9102735906229,999.0,1073.7942513475325,999.0,1073.8000077466822,999.0,1073.83454614158,2013,4,lemans,Dani PEDROSA,1,1037.6941655930345,,2,1
72,2013.4.lemans.Cal CRUTCHLOW.2,1072.0467711413914,1125.5517977038435,1001.0,1059.1160190077937,1001.0,1059.1217754069435,1001.0,1059.1563138018412,2013,4,lemans,Cal CRUTCHLOW,2,1018.7616927853478,,5,3
73,2013.4.lemans.Marc MARQUEZ.3,1164.9264518326509,1199.1228212877304,999.0,1043.4707736205949,1001.0,1045.3383764401538,999.0,1043.5110684146423,2013,4,lemans,Marc MARQUEZ,3,1040.9816129581627,,1,2
74,2013.4.lemans.Andrea DOVIZIOSO.4,1018.8519225547137,1050.5556417664961,1001.0,1033.8464542353458,1001.0,1033.8522106344956,1001.0,1033.8867490293933,2013,4,lemans,Andrea DOVIZIOSO,4,1005.4629806386785,,7,3
75,2013.4.lemans.Nicky HAYDEN.5,1008.3223466984251,1031.1525226152505,999.0,1022.4128029768883,1001.0,1024.280405796447,1001.0,1024.3149441913447,2013,4,lemans,Nicky HAYDEN,5,1002.3305866746063,,8,3
76,2013.4.lemans.Alvaro BAUTISTA.6,1029.6466350151143,1043.0887027074418,999.0,1014.4362989451813,1001.0,1016.30390176474,1001.0,1016.3384401596377,2013,4,lemans,Alvaro BAUTISTA,6,1007.6616587537785,,6,0
77,2013.4.lemans.Jorge LORENZO.7,1149.6779569353266,1149.035968727632,1001.0,1009.6510586725011,1001.0,1009.6568150716507,999.0,1007.8295070461394,2013,4,lemans,Jorge LORENZO,7,1037.6694892338317,,3,4
78,2013.4.lemans.Michele PIRRO.8,990.0395758195295,993.9216644327253,999.0,1002.2499733411844,999.0,1002.255729740334,1001.0,1004.1521145556408,2013,4,lemans,Michele PIRRO,8,997.2598939548824,,9,1
79,2013.4.lemans.Bradley SMITH.9,965.128524199271,966.0449908432851,999.0,997.633940915428,999.0,997.6396973145776,1001.0,999.5360821298843,2013,4,lemans,Bradley SMITH,9,991.0321310498177,,14,5
80,2013.4.lemans.Stefan BRADL.10,981.0393685333264,977.0562853324026,1001.0,995.6490936477066,999.0,993.7930036264472,1001.0,995.6893884417541,2013,4,lemans,Stefan BRADL,10,995.5098421333316,,11,1
81,2013.4.lemans.Andrea IANNONE.11,971.5444791765136,964.984841204264,1001.0,992.4435155742648,999.0,990.5874255530052,1001.0,992.4838103683121,2013,4,lemans,Andrea IANNONE,11,993.1361197941284,,13,2
82,2013.4.lemans.Valentino ROSSI.12,1095.2678108778912,1077.9690478462508,999.0,987.9103540926541,999.0,987.9161104918037,999.0,987.9506488867014,2013,4,lemans,Valentino ROSSI,12,1023.0669527194727,,4,8
83,2013.4.lemans.Aleix ESPARGARO.13,983.3953508974323,971.1529490810084,999.0,985.6842582083193,999.0,985.6900146074689,1001.0,987.5863994227758,2013,4,lemans,Aleix ESPARGARO,13,995.5988377243581,,10,3
84,2013.4.lemans.Danilo PETRUCCI.14,945.8585974684472,934.2345519085391,999.0,983.8291783047072,999.0,983.8349347038568,999.0,983.8694730987545,2013,4,lemans,Danilo PETRUCCI,14,985.7146493671119,,20,6
85,2013.4.lemans.Karel ABRAHAM.15,977.9194104119053,962.6392465311817,999.0,982.2832783850303,1001.0,984.1508812045889,1001.0,984.1854195994866,2013,4,lemans,Karel ABRAHAM,15,994.7298526029763,,12,3
86,2013.4.lemans.Colin EDWARDS.16,942.6674539330813,928.4170318049247,1001.0,982.8568748723753,1001.0,982.862631271525,1001.0,982.8971696664227,2013,4,lemans,Colin EDWARDS,16,986.4168634832704,,23,7
87,2013.4.lemans.Michael LAVERTY.17,952.0004387600662,936.067420999782,999.0,979.9214868410795,999.0,979.9272432402291,1001.0,981.8236280555359,2013,4,lemans,Michael LAVERTY,17,987.7501096900165,,17,0
88,2013.4.lemans.Hector BARBERA.18,958.9465159284888,941.663082478365,1001.0,980.8887152524163,999.0,979.0326252311569,999.0,979.0671636260546,2013,4,lemans,Hector BARBERA,18,989.4866289821222,,15,3
89,2013.4.lemans.Hiroshi AOYAMA.19,948.2211653500038,930.8951442871556,999.0,978.281353824447,999.0,978.2871102235966,999.0,978.3216486184944,2013,4,lemans,Hiroshi AOYAMA,19,986.305291337501,,18,1
90,2013.4.lemans.Yonny HERNANDEZ.20,947.5584505857628,929.6544344363814,999.0,977.6600913181468,999.0,977.6658477172964,1001.0,979.5622325326033,2013,4,lemans,Yonny HERNANDEZ,20,986.6396126464407,,19,1
91,2013.4.lemans.Randy DE PUNIET.21,952.8945501260506,934.1238583620284,999.0,977.1423725628966,1001.0,979.0099753824554,1001.0,979.0445137773531,2013,4,lemans,Randy DE PUNIET,21,988.4736375315126,,16,5
92,2013.4.lemans.Lukas PESEK.22,938.6157193468118,920.3442427808941,1001.0,978.5727866872639,999.0,976.7166966660045,999.0,976.7512350609022,2013,4,lemans,Lukas PESEK,22,984.4039298367029,,24,2
93,2013.4.lemans.Claudio CORTI.23,944.8196009808361,925.7854955507638,1001.0,978.2132597738959,999.0,976.3571697526363,1001.0,978.2535545679432,2013,4,lemans,Claudio CORTI,23,986.454900245209,,21,2
94,2013.4.lemans.Bryan STARING.24,942.8614239468902,923.6551666131003,999.0,976.0518075923466,1001.0,977.9194104119053,1001.0,977.953948806803,2013,4,lemans,Bryan STARING,24,985.9653559867226,,22,2
95,2013.5.mugello.Jorge LORENZO.1,1149.035968727632,1214.5722379026859,999.0,1073.8230333432807,999.0,1073.7942513475325,1001.0,1075.6560977679417,2013,5,mugello,Jorge LORENZO,1,1037.008992181908,,3,2
96,2013.5.mugello.Dani PEDROSA.2,1218.9102735906229,1264.3379755344604,999.0,1057.2829545831328,999.0,1057.2541725873848,999.0,1057.2541725873848,2013,5,mugello,Dani PEDROSA,2,1053.9775683976557,,1,1
97,2013.5.mugello.Cal CRUTCHLOW.3,1125.5517977038435,1162.0924097143336,999.0,1043.499555616343,1001.0,1045.332620041004,1001.0,1045.332620041004,2013,5,mugello,Cal CRUTCHLOW,3,1031.6379494259609,,4,1
98,2013.5.mugello.Stefan BRADL.4,977.0562853324026,1011.4414162431145,1001.0,1033.875236231094,999.0,1031.9846078149367,999.0,1031.9846078149367,2013,5,mugello,Stefan BRADL,4,994.0140713331007,,10,6
99,2013.5.mugello.Andrea DOVIZIOSO.5,1050.5556417664961,1070.6138014936662,1001.0,1024.3034313930455,999.0,1022.4128029768883,999.0,1022.4128029768883,2013,5,mugello,Andrea DOVIZIOSO,5,1012.388910441624,,6,1
100,2013.5.mugello.Nicky HAYDEN.6,1031.1525226152505,1044.4769090771274,1001.0,1016.3269273613384,999.0,1014.4362989451813,999.0,1014.4362989451813,2013,5,mugello,Nicky HAYDEN,6,1007.5381306538127,,8,2
101,2013.5.mugello.Michele PIRRO.7,993.9216644327253,1003.0141035540535,999.0,1007.8179942478401,999.0,1007.789212252092,999.0,1007.789212252092,2013,5,mugello,Michele PIRRO,7,997.7304161081813,,9,2
102,2013.5.mugello.Aleix ESPARGARO.8,971.1529490810084,976.1867792729207,999.0,1002.2787553369325,999.0,1002.2499733411844,999.0,1002.2499733411844,2013,5,mugello,Aleix ESPARGARO,8,992.0382372702521,,11,3
103,2013.5.mugello.Bradley SMITH.9,966.0449908432851,966.7939209349082,1001.0,999.5245693315851,1001.0,999.495787335837,1001.0,999.495787335837,2013,5,mugello,Bradley SMITH,9,992.2612477108213,,12,3
104,2013.5.mugello.Hector BARBERA.10,941.663082478365,940.1349859971501,1001.0,995.6778756434549,1001.0,995.6490936477066,1001.0,995.6490936477066,2013,5,mugello,Hector BARBERA,10,986.1657706195913,,15,5
105,2013.5.mugello.Randy DE PUNIET.11,934.1238583620284,929.8705565595737,1001.0,992.4722975700129,999.0,990.5816691538556,999.0,990.5816691538556,2013,5,mugello,Randy DE PUNIET,11,983.2809645905071,,18,7
106,2013.5.mugello.Danilo PETRUCCI.12,934.2345519085391,927.3029029318769,999.0,987.9391360884022,999.0,987.9103540926541,1001.0,989.7722005130631,2013,5,mugello,Danilo PETRUCCI,12,983.3086379771348,,17,5
107,2013.5.mugello.Andrea IANNONE.13,964.984841204264,953.8527382587935,999.0,985.7130402040675,999.0,985.6842582083193,999.0,985.6842582083193,2013,5,mugello,Andrea IANNONE,13,990.496210301066,,13,0
108,2013.5.mugello.Colin EDWARDS.14,928.4170318049247,917.7728745705302,1001.0,985.7198067208643,1001.0,985.6910247251162,999.0,983.8291783047072,2013,5,mugello,Colin EDWARDS,14,982.3542579512311,,21,7
109,2013.5.mugello.Karel ABRAHAM.15,962.6392465311817,948.257948381971,1001.0,984.1739068011874,999.0,982.2832783850303,999.0,982.2832783850303,2013,5,mugello,Karel ABRAHAM,15,990.4098116327955,,14,1
110,2013.5.mugello.Yonny HERNANDEZ.16,929.6544344363814,916.0978690938493,999.0,981.0238104477143,1001.0,982.8568748723753,999.0,980.9950284519662,2013,5,mugello,Yonny HERNANDEZ,16,982.1636086090954,,20,4
111,2013.5.mugello.Michael LAVERTY.17,936.067420999782,921.0303733343545,1001.0,981.8121152572367,1001.0,981.7833332614886,999.0,979.9214868410795,2013,5,mugello,Michael LAVERTY,17,984.2668552499455,,16,1
112,2013.5.mugello.Bryan STARING.18,923.6551666131003,908.509018328722,1001.0,980.9174972481644,999.0,979.0268688320073,1001.0,980.8887152524163,2013,5,mugello,Bryan STARING,18,981.1637916532751,,23,5
113,2013.5.mugello.Lukas PESEK.19,920.3442427808941,904.6605693930171,1001.0,980.1719822406042,1001.0,980.1432002448561,1001.0,980.1432002448561,2013,5,mugello,Lukas PESEK,19,980.8360606952235,,24,5
114,2013.5.mugello.Marc MARQUEZ.20,1199.1228212877304,1165.9052025118533,1001.0,979.550719734304,999.0,977.6600913181468,999.0,977.6600913181468,2013,5,mugello,Marc MARQUEZ,20,1049.5307053219326,,2,18
115,2013.5.mugello.Claudio CORTI.21,925.7854955507638,908.6206647495163,999.0,977.1711545586448,999.0,977.1423725628966,999.0,977.1423725628966,2013,5,mugello,Claudio CORTI,21,980.6963738876909,,22,1
116,2013.5.mugello.Hiroshi AOYAMA.22,930.8951442871556,912.9759359801542,999.0,976.739722262603,1001.0,978.5727866872639,1001.0,978.5727866872639,2013,5,mugello,Hiroshi AOYAMA,22,982.9737860717889,,19,3
117,2013.5.mugello.Valentino ROSSI.23,1077.9690478462508,1050.2438036353417,1001.0,978.242041769644,999.0,976.3514133534867,1001.0,978.2132597738959,2013,5,mugello,Valentino ROSSI,23,1019.7422619615627,,5,18
118,2013.5.mugello.Alvaro BAUTISTA.24,1043.0887027074418,1017.2621854380953,1001.0,977.9424360085038,1001.0,977.9136540127556,999.0,976.0518075923466,2013,5,mugello,Alvaro BAUTISTA,24,1011.0221756768605,,7,17
